5641801;"Food Manufacturing";"Getting The Most From Food Manufacturing Company Calls";"Food manufacturing companies are best to reach in the early hours of the day, or preferably at night. They tend to have strict deadlines to meet orders for their clients. On the sales side, find out what they need to become more efficient other than more staff. This might mean helping design a more efficient food preparation lineup using several machines to aid them in the production or the packaging of the food for clients."
5641805;"Distribution";"Contacting Distribution Companies Over The Phone";"Distribution companies deal with numbers. They know that the volume of their sales based on the number of products shipped must exceed their expenses. They also are very time conscious as they can lose clients with late deliveries. It is important to honor the time constraints set for any phone call that you set up with someone at the company. Honoring their time will show to them that you understand the business and generate goodwill."
5641809;"Services";"Calling Services Companies";"Services companies get a lot of calls each day trying to sell them the newest product or service to make their jobs easier. The biggest challenge is getting past the receptionist to the person you need to speak with that makes decisions. Don't rush this.  You will be amazed at how some small talk and a good attitude can set yourself aside from all of those other pushy sales people that are calling all day."
5641813;"Freight Forwarders";"Getting Freight Forwarders On The Phone";"When calling freight forwarders, be upfront about what you are calling about. In their industry time is money. Don't be upset if you get passed on to an assistant or a voice mail inbox. The key is to be personable and professional. Make yourself available for follow-up calls. Offer information the contact can review when he has time such as your website or the offer to mail a brochure. Value their time to increase sales."
5641817;"Couriers";"Calling Couriers";"For courier companies, time is money. This is true with many businesses, but it's especially true with couriers. If you are calling to sell them something, be honest and just ask for a few minutes of their time. Honor that request and do not use more time than you ask for. If you respect the courier company and show that through respect for their time, you will gain their trust and maybe that important sale."
5641821;"Natural Gas";"Contacting Natural Gas Companies";"Natural gas companies are in the business of reaching their customers in the most efficient way possible. As a salesperson this opens up many lines of conversation for you. You can discuss technology being developed for delivering natural gas. You might even discuss developments in other countries with natural gas. Show that you are interested in the industry and not just your sale and it might get you that sale because they like your style."
5641825;"Government";"Calling Government Offices";"Selling to government offices might seem like you are walking into an office with an open wallet, based on what you hear on the news. That couldn't be further from the truth though. Government agencies must operate within a budget and it can be even tighter than many business working in the retail industry. If you try to gouge them with high prices, you will lose the sale and develop a poor reputation."
5641829;"Health";"Calling Health Industry Companies";"Selling to a health company is a very competitive business. There are many other salesmen out there, and some of them aren't above a small bribe such as merchandise or a meal to make a sale.  Recognize who you are competing with, and read who you are speaking with. Compliments to the receptionist and a small gift such as a bouquet of flowers will help you get through to that decision maker on subsequent calls."
5641833;"Hygiene Products & Services";"Calling Hygiene Products & Services Companies";"When calling a hygiene products and services company, don't beat around the bushes. They know why you are calling, they get sales calls every day. You need to get to the decision maker, and that's not always easy. Be polite and offer to wait on hold. Create beauty with your voice through being polite, friendly and accommodating. They can't see you over the phone, so first impressions are made through creative word choice."
5641837;"Hospitals";"Getting Through At Hospitals";"Selling to hospitals is a very competitive industry, but a lucrative one as well. The key is to get the hospital administrator or their assistant on the phone. This can take some time as you are passed from one person to another. Their schedules can be quite busy, so it's best to try early in the morning or late in the evening. You may want to work hours outside of the standard to succeed."
5641841;"Hotels";"Calling Hotels For Information";"A hotel operator is interested in the amount of traffic he can get into his hotel. This includes those staying in rooms as well as those attending business meetings or dining in the hotel restaurant. If you can show the hotel management how your product will increase the number of individuals visiting their hotel, you are going to capture their interest quickly. Products that are unique and affordable are what they are looking to see."
5641845;"Restaurants";"How To Get Restaurant Information Over The Phone";"Restaurants are always looking for that new product to purchase that will make them a destination for their customers. As a salesperson it's your job to frame your product as the one item to put on their menu that will perfect the menu. Call at times when you are likely to reach a manager or owner outside of high volume dining hours. These are typically late morning and the middle of the afternoon."
5641849;"Caterers";"Getting The Most Out Of Calling Caterers";"Caterers are quite often busy at odd hours. They frequently serve meals at breakfast, lunch and dinner. If you are trying to get in touch with one to sell them products, the late afternoon may be a good time to reach them or the middle of the morning. Work with them to find out what they need to be more proficient in meeting the needs of their clients. This frequently means more efficient food products."
5641853;"Industrial Equipment";"Selling Industrial Equipment";"Industrial equipment is not the most exciting product line to sell. Over the phone it can be even less exciting than in-person. This is why as the salesperson you should try to create a need. Take the angle of selling industrial products from a safety perspective. Point out how your product will keep their employees safer. This will make the company more productive as there will be fewer people missing days due to injury."
